id,title,description,price,brand,category,subcategory,tags,seller_id,rating,popularity,in_stock
I0001,Stylish Grey Bottles by SareeSaheli,"Bottles in Alloy with Nonstick, Noise Cancellation. Ideal for sports & fitness use.",1983,SareeSaheli,Sports & Fitness,Bottles,wedding;festival;summer;eco;gadgets;men,S004,4.18,0.291,true
I0002,Trendy Green Handbags by RoyalRoots,"Handbags in Chiffon with Quick-Dry, Organizer Pockets. Ideal for bags & luggage use.",1431,RoyalRoots,Bags & Luggage,Handbags,travel;fitness;home;kitchen;wedding;festival,S007,3.81,0.294,true
I0003,Durable Green Wallets by RoyalRoots,"Wallets in Terracotta with Stretchable, Skin-Friendly. Ideal for bags & luggage use.",2386,RoyalRoots,Bags & Luggage,Wallets,home;gift;western;men;fitness;accessories,S003,4.74,0.289,true
I0004,Lightweight Navy Tools by CraftKart,"Tools in Silk with Anti-Slip, Organizer Pockets. Ideal for kitchen use.",657,CraftKart,Kitchen,Tools,handmade;kids;gift;ethnic;summer;festival,S014,4.21,0.304,true
I0005,Durable Black Heels by FitBolt,"Heels in Terracotta with Long Battery, Organizer Pockets. Ideal for footwear use.",2134,FitBolt,Footwear,Heels,party;decor;kids;bestseller;winter;kitchen,S014,4.13,0.29,true
I0006,Handcrafted Blue Duffle by SteelPro,"Duffle in Cotton with Skin-Friendly, Organizer Pockets. Ideal for bags & luggage use.",1708,SteelPro,Bags & Luggage,Duffle,kitchen;western;fitness;gift;party;travel,S014,4.14,0.292,true
I0007,Comfy Yellow Rings by DesiWeave,"Rings in Stainless Steel with Anti-Slip, Skin-Friendly. Ideal for jewellery use.",1833,DesiWeave,Jewellery,Rings,men;bestseller;office;budget;fashion;party,S014,4.47,0.292,true
I0008,Trendy Beige Dress Materials by FitBolt,"Dress Materials in Alloy with Quick-Dry, Anti-Slip. Ideal for women ethnic use.",470,FitBolt,Women Ethnic,Dress Materials,bestseller;fitness;gift;western;handmade;decor,S012,3.92,0.309,true
I0009,Lightweight Maroon Smartwatch by DenimWorks,"Smartwatch in Silk with Nonstick, Anti-Slip. Ideal for electronics use.",527,DenimWorks,Electronics,Smartwatch,winter;men;charging;eco;handmade;office,S007,4.78,0.307,true
I0010,Vibrant Black Power Bank by AuraCare,"Power Bank in Canvas with Organizer Pockets, Noise Cancellation. Ideal for electronics use.",1843,AuraCare,Electronics,Power Bank,festival;office;grooming;premium;ethnic;handmade,S005,3.7,0.292,true
I0011,Handcrafted Blue Makeup by GlowHerb,"Makeup in Polycarbonate with Leak-Proof, Anti-Theft. Ideal for beauty use.",322,GlowHerb,Beauty,Makeup,winter;summer;handmade;fitness;accessories;office,S007,3.98,0.315,false
I0012,Handcrafted Yellow Tops by BeechCraft,"Tops in Polycarbonate with Noise Cancellation, Leak-Proof. Ideal for women western use.",1713,BeechCraft,Women Western,Tops,travel;summer;women;premium;wedding;decor,S012,3.83,0.292,true
I0013,Handcrafted Black Earbuds by SareeSaheli,"Earbuds in Terracotta with Stretchable, Long Battery. Ideal for electronics use.",576,SareeSaheli,Electronics,Earbuds,decor;charging;travel;kitchen;gadgets;kids,S005,4.81,0.306,true
I0014,Handcrafted White Dress Materials by Oak&Co,"Dress Materials in Chiffon with Noise Cancellation, Long Battery. Ideal for women ethnic use.",969,Oak&Co,Women Ethnic,Dress Materials,premium;summer;women;grooming;trending;men,S005,3.68,0.299,true
I0015,Durable Black Jeans by DesiWeave,"Jeans in Chiffon with Noise Cancellation, Skin-Friendly. Ideal for men use.",754,DesiWeave,Men,Jeans,western;party;gift;casual;premium;ethnic,S013,4.51,0.302,true
I0016,Eco Purple Bottles by UrbanHide,"Bottles in Canvas with Stretchable, Leak-Proof. Ideal for sports & fitness use.",208,UrbanHide,Sports & Fitness,Bottles,handmade;dailywear;decor;bestseller;western;gadgets,S010,4.74,0.323,true
I0017,Elegant Orange Bottles by SteelPro,"Bottles in Stainless Steel with Skin-Friendly, Nonstick. Ideal for sports & fitness use.",672,SteelPro,Sports & Fitness,Bottles,handmade;new;travel;winter;decor;yoga,S002,4.51,0.304,true
I0018,Durable Pink Women Sandals by TrailTech,"Women Sandals in Denim with RFID Blocking, Long Battery. Ideal for footwear use.",731,TrailTech,Footwear,Women Sandals,premium;gift;men;party;winter;bestseller,S010,4.92,0.303,true
I0019,Trendy Yellow Heels by KidJoy,"Heels in Canvas with Organizer Pockets, Quick-Dry. Ideal for footwear use.",397,KidJoy,Footwear,Heels,gadgets;fashion;decor;trending;new;ethnic,S004,4.49,0.312,false
I0020,Lightweight Green Bedsheets by RoyalRoots,"Bedsheets in Silk with Leak-Proof, Long Battery. Ideal for home use.",1978,RoyalRoots,Home,Bedsheets,decor;new;fitness;wedding;eco;dailywear,S004,4.36,0.291,true
I0021,Comfy White Skincare by SonicBeat,"Skincare in Wood with Leak-Proof, Stretchable. Ideal for beauty use.",149,SonicBeat,Beauty,Skincare,dailywear;trending;budget;kitchen;kids;grooming,S001,3.88,0.33,true
I0022,Elegant Navy Skincare by AuraCare,"Skincare in Leather with RFID Blocking, Skin-Friendly. Ideal for beauty use.",432,AuraCare,Beauty,Skincare,handmade;home;summer;dailywear;kitchen;travel,S009,4.86,0.31,true
I0023,Trendy Purple Appliances by DesiWeave,"Appliances in Chiffon with Stretchable, Nonstick. Ideal for kitchen use.",235,DesiWeave,Kitchen,Appliances,handmade;organizer;men;gadgets;kids;western,S015,4.43,0.321,true
